OWPP_BE,L_BE,OWPP_DE,L_DE,OWPP_DK,L_DK,OWPP_GB,L_GB,OWPP_NL,L_NL,OWPP_NO,L_NO
BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load
0.926203528,0.607183965,0.712606033,0.615269349,0.798844987,0.663040446,0.613521772,0.535711617,0.66487415,0.512581164,0.886740331,0.71230916
0.926329517,0.610438579,0.738839944,0.639397626,0.779236697,0.674476987,0.621237586,0.521834737,0.645903353,0.513117063,0.886740331,0.714058524
0.930702666,0.640305616,0.758589068,0.677705214,0.536693177,0.694560669,0.621619557,0.525069118,0.704981701,0.528944777,0.886049724,0.72519084
0.934798417,0.697737646,0.725084335,0.75898227,0.767371183,0.753138075,0.630328495,0.54213768,0.701172604,0.578920475,0.865331492,0.758746819
0.933765086,0.749216114,0.731143353,0.817265938,0.774192388,0.844072524,0.62223071,0.551307095,0.716558369,0.639065791,0.875,0.809319338
0.922155298,0.798134551,0.693249926,0.858604427,0.780332756,0.892329149,0.612528648,0.604626338,0.716408992,0.682785179,0.889502762,0.815521628
0.925272976,0.819726136,0.656895818,0.873442926,0.767094581,0.876708508,0.604583652,0.661777735,0.718350885,0.715051284,0.897099448,0.823155216
0.936929181,0.837269299,0.643860741,0.89213461,0.789231924,0.914086471,0.605347594,0.687738175,0.716334304,0.729557946,0.875,0.819815522
0.933923125,0.856062711,0.623882357,0.909626846,0.7936468,0.919386332,0.60802139,0.689680939,0.71611024,0.723613206,0.833563536,0.826812977
0.924723708,0.854217107,0.675596895,0.912898995,0.785999414,0.89790795,0.606875477,0.687353892,0.714243035,0.720472588,0.819751381,0.827290076
0.933855709,0.844373884,0.6971801,0.897265394,0.779704193,0.89623431,0.598395722,0.6916664,0.714765853,0.713368811,0.805248619,0.827608142
0.934885726,0.836773169,0.696590574,0.885138395,0.774781208,0.883960948,0.588617265,0.685229662,0.714317724,0.710228193,0.796961326,0.817430025
0.930477211,0.830700536,0.69740936,0.876745656,0.765850678,0.859693166,0.574255157,0.691228744,0.713197401,0.717693391,0.802486188,0.807729008
0.936863976,0.837289145,0.678118757,0.878859131,0.78323626,0.882008368,0.559129106,0.717370651,0.713720218,0.736549558,0.810773481,0.815521628
0.919842182,0.864338162,0.65152458,0.905284368,0.770131389,0.917433752,0.542704354,0.773390549,0.716558369,0.778898042,0.81698895,0.798346056
0.923435082,0.865647946,0.658959159,0.899786614,0.776660287,0.873640167,0.528571429,0.802393228,0.711404885,0.750582634,0.814226519,0.79389313
0.924616507,0.831077595,0.670094652,0.872294446,0.777498669,0.816178522,0.505729565,0.787769131,0.712375831,0.718777652,0.779005525,0.784987277
0.916571991,0.789184362,0.622277536,0.8230695,0.785619949,0.787726639,0.488082506,0.752895464,0.712674584,0.686960206,0.748618785,0.779262087
0.92164029,0.747211748,0.642845446,0.78080679,0.78341351,0.762622036,0.467074102,0.705436535,0.711853014,0.649235409,0.689226519,0.764631043
0.921767384,0.740762056,0.657976615,0.744497149,0.786416541,0.716317992,0.450038197,0.642713037,0.710508626,0.613741447,0.562845304,0.750318066
0.910752177,0.73345902,0.64271444,0.70154807,0.713352351,0.686750349,0.427960275,0.585977946,0.687131227,0.579917496,0.419889503,0.736164122
0.91613766,0.678606866,0.549962336,0.637488023,0.708519299,0.694281729,0.393353705,0.547176055,0.713869594,0.552050748,0.297651934,0.725986005
0.930035144,0.64356023,0.474306488,0.608915332,0.359287269,0.690655509,0.361038961,0.543343901,0.714616476,0.526053415,0.225138122,0.717239186
0.936816454,0.616789045,0.46893525,0.60974781,0.51076567,0.673361227,0.328571429,0.541550581,0.714093659,0.513540797,0.143646409,0.71071883
0.941321118,0.604326255,0.465856614,0.615048488,0.531741102,0.667224547,0.303437739,0.53194351,0.661363806,0.509428084,0.099447514,0.706743003
0.944506211,0.608672356,0.429174991,0.629730685,0.565473798,0.672803347,0.289533995,0.508139324,0.71118082,0.51053727,0.078038674,0.713263359
0.945634587,0.646576702,0.426653129,0.658218429,0.746834158,0.70460251,0.262643239,0.493750067,0.708865487,0.529056942,0.068370166,0.727894402
0.935941161,0.717860687,0.387744408,0.72289349,0.729738486,0.768479777,0.230175707,0.49581025,0.696392561,0.580091975,0.080110497,0.772423664
0.932767119,0.759853145,0.440048472,0.803854544,0.72262661,0.836262204,0.212070283,0.570777426,0.668533871,0.628858784,0.127071823,0.810591603
0.943054021,0.811113316,0.468181967,0.831968522,0.621490109,0.873919107,0.20802139,0.675782709,0.604824856,0.678360897,0.180248619,0.830470738
0.936893815,0.829271681,0.451085711,0.840660274,0.502675265,0.871966527,0.211611917,0.727436727,0.479049966,0.699896559,0.258287293,0.819974555
0.941516732,0.830383013,0.411849474,0.846868183,0.383578165,0.873640167,0.240488923,0.750344253,0.365299873,0.689178579,0.34461326,0.805820611
